X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0041242928337,39.0313218141295,13340146,39.031314,-77.004122,The Shoppes @ Burnt Mills,classic,612,active,2021/08/05 14:47:16+00,5,0,14,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.9454972777141,39.0816458264976,13340147,39.081638,-76.945495,Briggs Chaney & Castle Dr,classic,613,active,2021/08/05 08:51:34+00,11,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.975725284682,39.046151818161,13340148,39.046144,-76.975723,White Oak Rec Center,classic,614,active,2021/08/05 14:01:14+00,12,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.9418692758153,39.0778828261275,13340149,39.077875,-76.941867,Briggs Chaney Park & Ride,classic,615,active,2021/08/05 08:51:32+00,16,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.9811572861925,39.0449518184358,13340150,39.044944,-76.981155,Stewart & April,classic,616,active,2021/08/05 08:51:31+00,16,0,3,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.985440287594,39.045659818137,13340151,39.045652,-76.985438,Stewart Ln & Old Columbia Pike,classic,617,active,2021/08/05 08:51:33+00,15,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.9918262900804,39.0391098169247,13340152,39.039102,-76.991824,New Hampshire & Lockwood,classic,618,active,2021/08/05 14:42:07+00,13,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.940549276227,39.0853218274262,13340153,39.085314,-76.940547,Castle Blvd & Castle Ln,classic,619,active,2021/08/05 08:51:34+00,6,0,13,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.9945412908619,39.0379888165435,13340154,39.037981,-76.994539,Oak Leaf & Lockwood,classic,620,active,2021/08/05 08:51:34+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-76.9871272879171,39.0410478167786,13340155,39.04104,-76.987125,White Oak Transit Center,classic,621,active,2021/08/05 08:51:32+00,10,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
